Кассир:admin
Наименование товара  Цена товара

Bread                 22.799999
Milk                  15.200000
Bread                 22.799999
Bread                 22.799999
Egg                   1.100000
Egg                   1.100000
Cheese                8.410000
Bread                 22.799999
Milk                  15.200000
Milk                  15.200000
Waffles               100.099998
Cheese                8.410000
Waffles               100.099998
Waffles               100.099998
Milk                  15.200000
Cheese                8.410000
Cheese                8.410000
Waffles               100.099998
Waffles               100.099998
Bread                 22.799999
Cheese                8.410000
Egg                   1.100000
Cheese                8.410000
Cheese                8.410000
Waffles               100.099998
Waffles               100.099998
Egg                   1.100000
Milk                  15.200000
Cheese                8.410000
Waffles               100.099998
Waffles               100.099998
Egg                   1.100000
Bread                 22.799999
Cheese                8.410000
Cheese                8.410000
Bread                 22.799999
Milk                  15.200000
Bread                 22.799999
Egg                   1.100000
Waffles               100.099998
Cheese                8.410000
Egg                   1.100000
Egg                   1.100000
Bread                 22.799999
Waffles               100.099998
Waffles               100.099998
Egg                   1.100000
Egg                   1.100000
Cheese                8.410000
Bread                 22.799999
Cheese                8.410000
Cheese                8.410000
Cheese                8.410000
Bread                 22.799999
Egg                   1.100000
Waffles               100.099998
Bread                 22.799999
Egg                   1.100000
Waffles               100.099998
Milk                  15.200000
Milk                  15.200000
Cheese                8.410000
Egg                   1.100000
Waffles               100.099998
Milk                  15.200000
Cheese                8.410000
Bread                 22.799999
Egg                   1.100000
Waffles               100.099998
Milk                  15.200000
Milk                  15.200000
Bread                 22.799999
Milk                  15.200000
Milk                  15.200000
Waffles               100.099998
Waffles               100.099998
Egg                   1.100000
Egg                   1.100000
Bread                 22.799999
Egg                   1.100000
Bread                 22.799999
Bread                 22.799999
Waffles               100.099998
Milk                  15.200000
Waffles               100.099998
Waffles               100.099998
Waffles               100.099998
Egg                   1.100000
Bread                 22.799999
Bread                 22.799999
Waffles               100.099998
Egg                   1.100000
Cheese                8.410000
Egg                   1.100000
Egg                   1.100000
Cheese                8.410000
Bread                 22.799999
Waffles               100.099998
Пакет                  5

Итоговая сумма чека:  3367.6
